date,category one,category two has a really long name and takes a lot of space,category three,category four,category five,category six,series
1997,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
1998,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
1999,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
2000,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
2001,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
2002,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
2003,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
2004,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series1
2005,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series1
2006,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series1
2007,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series1
2008,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series1
2009,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series1
2010,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series1
2011,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series1
2012,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series1
2013,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series1
2014,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series1
2015,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series1
2016,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series1
2017,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series1
1997,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
1998,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
1999,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
2000,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
2001,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
2002,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
2003,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
2004,0.150000,0.150000,0.150000,0.150000,0.150000,0.250000,series2
2005,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series2
2006,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series2
2007,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series2
2008,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series2
2009,0.140000,0.140000,0.140000,0.140000,0.140000,0.300000,series2
2010,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series2
2011,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series2
2012,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series2
2013,0.130000,0.130000,0.130000,0.130000,0.130000,0.350000,series2
2014,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series2
2015,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series2
2016,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series2
2017,0.120000,0.120000,0.120000,0.120000,0.120000,0.400000,series2
